"","Customer_ID","Recency","Frequency","Count_of_transactions","Total_Amount","DPR","Age","Avg_Amount","CSI","months_inactive","CLV"
"70","12416",0,0,1,202.56,11,656,202.56,"2",0,7.3202504548031
"71","12417",730,19,20,5998.41,269,733,299.9205,"2",0.0695238095238095,261.257471019215
"72","12418",518,3,4,2021.2,90,630,505.3,"6",0.170943344334433,82.9896948128155
"73","12419",28,1,2,391.01,22,413,195.505,"3",0.0424873737373737,10.8857880687697
"74","12420",0,0,1,600.39,29,63,600.39,"5",0,40.0511044011985
"75","12421",490,5,6,874.6,43,505,145.766666666667,"4",0.281633141762452,56.4504351144064
"76","12422",626,12,13,4697.8,136,721,361.369230769231,"4",0.128007839127471,236.633167948558
"77","12423",465,9,10,2301.39,127,465,230.139,"4",0.100658369408369,157.843995283088
"78","12424",386,2,3,3340.03,78,548,1113.34333333333,"5",0.141391941391941,300.918357440636
"79","12425",370,1,2,1741.41,87,448,870.705,"4",0.137037037037037,144.655699562924
"80","12426",468,1,2,1201.21,72,662,600.605,"5",0.210792042042042,82.9671354805884
"81","12427",350,2,3,699.8,25,371,233.266666666667,"4",0.432098765432099,13.6313121164245
"82","12428",258,6,7,6956.46,257,283,993.780000000001,"5",0.0299651567944251,312.551053813058
"83","12429",537,5,6,5842.41,123,546,973.735,"5",0.120143549589858,342.549360733919
"84","12430",0,0,1,216.4,10,43,216.4,"3",0,22.3178034456622
"85","12431",658,23,24,10102.22,243,693,420.925833333333,"4",0.056969696969697,447.816544649926
"86","12432",130,1,2,4359.32,106,172,2179.66,"5",0.0408805031446541,311.283838790476
"87","12433",476,8,9,16794.14,285,476,1866.01555555555,"6",0.0284373755475906,746.689187524592
"88","12434",297,2,3,1103.43,62,381,367.81,"5",0.143458132045089,42.0251377593159
"89","12435",658,5,6,13925.93,88,737,2320.98833333333,"5",0.197585085085085,220.775291211403
"90","12436",0,0,1,429.01,15,99,429.01,"5",0,19.5436120523478
"91","12437",736,33,34,11282.4,273,737,331.835294117647,"4",0.0463768115942029,246.9343750315
"92","12438",126,1,2,2466.85,83,140,1233.425,"5",0.0442251461988304,184.045938657082
"93","12439",43,1,2,1142.88,69,725,571.44,"4",0.0204761904761905,61.8365812381712
"94","12440",255,1,2,739.2,20,717,369.6,"5",0.293055555555556,47.380840627431
"95","12441",0,0,1,155.55,10,366,155.55,"2",0,4.10319807313735
"96","12442",0,0,1,144.06,11,3,144.06,"2",0,8.11361733690118
"97","12443",0,0,1,365.31,20,732,365.31,"3",0,6.03555358417707
"98","12444",150,4,5,4085.46,137,171,817.092,"5",0.029077842377261,73.0225635921412
"99","12445",398,1,2,378.98,23,420,189.49,"3",0.603093434343434,24.2337205399588
"100","12446",0,0,1,1002.31,58,57,1002.31,"6",0,31.1115585532076
"101","12447",0,0,1,431.49,25,243,431.49,"4",0,15.6348117222197
"102","12448",0,0,1,365.45,21,44,365.45,"3",0,12.8297441272551
"103","12449",416,4,5,4274.89,124,438,854.978,"5",0.0711182336182336,203.808341610754
"104","12450",318,4,5,688.2,31,474,137.64,"2",0.294444444444444,13.491215032799
"105","12451",519,6,7,12629.88,351,529,1804.26857142857,"5",0.0339909408426108,732.158445379877
"106","12452",0,0,1,348.57,20,16,348.57,"2",0,20.0705086808514
"107","12453",0,0,1,707.09,43,134,707.09,"5",0,29.279555983559
"108","12454",365,3,4,16459.78,23,421,4114.945,"5",0.320175438596491,760.359120823978
"109","12455",648,8,9,5722.95,198,721,635.883333333334,"5",0.0986237950279046,130.458983780477
"110","12456",210,2,3,2581.04,104,254,860.346666666667,"5",0.0578512396694215,165.444738959015
"111","12457",369,6,7,2555.91,62,435,365.13,"5",0.15375,130.746573381699
"112","12458",416,3,4,1502.49,70,487,375.6225,"4",0.175527426160338,53.158854769197
"113","12459",0,0,1,398.36,22,605,398.36,"2",0,10.8653268347694
"114","12460",0,0,1,296.65,17,456,296.65,"3",0,8.99764479422161
"115","12461",0,0,1,626.88,34,154,626.88,"6",0,28.6924419974241
"116","12462",285,1,2,937.59,50,303,468.795,"5",0.161016949152542,31.0254164418321
"117","12463",188,3,4,1200.78,64,241,300.195,"3",0.0803418803418803,74.0111445434526
"118","12464",299,6,7,957.05,5,309,136.721428571429,"2",0.474603174603175,46.3594070707523
"119","12465",152,1,2,682.19,45,169,341.095,"4",0.115183080808081,20.6912585656026
"120","12466",0,0,1,56.73,1,682,56.73,"1",NA,NA
"121","12467",0,0,1,132.8,9,423,132.8,"1",0,6.61845488464959
"122","12468",495,4,5,3238.74,126,682,647.748,"6",0.114573688271605,149.120612547205
"123","12469",14,1,2,3070.54,76,536,1535.27,"4",0.00622222222222222,213.090742669278
"124","12470",0,0,1,211.95,23,689,211.95,"2",0,11.6975534473086
"125","12471",730,47,48,35230.99,254,732,733.978958333333,"4",0.022303696914146,977.49688226784
"126","12472",693,18,19,14971.29,396,725,787.962631578948,"3",0.028136419001218,870.705872988103
"127","12473",162,3,4,3640.05,139,191,910.0125,"5",0.0331373551465576,112.246100132726
"128","12474",649,27,28,11310.75,368,666,403.955357142857,"5",0.0318137254901961,340.093140508896
"129","12475",356,1,2,1065.64,53,409,532.82,"5",0.204597701149425,-18.6239600743235
"130","12476",486,15,16,12319.91,357,501,769.994374999999,"6",0.0325983679856919,1038.59960048344
"131","12477",601,8,9,20276.37,295,623,2252.93,"6",0.0355831853167555,1464.31880565028
"132","12478",0,0,1,545.99,35,3,545.99,"4",0,49.2202680629915
"133","12479",0,0,1,473.2,30,11,473.2,"4",0,21.502768863758
"134","12480",479,6,7,4834.85,176,507,690.692857142857,"5",0.0682395536562203,117.150903515653
"135","12481",585,11,12,11033.51,247,607,919.459166666666,"6",0.0531372994247654,358.852995231097
"136","12482",77,5,6,23691.4,42,653,3948.56666666666,"5",0.0126368363437329,2042.72753693579
"137","12483",660,17,18,4069.18,67,677,226.065555555555,"3",0.181818181818182,229.177449991554
"138","12484",646,8,9,5557.1,328,681,617.455555555556,"5",0.0464080459770115,205.488661773848
"139","12485",0,0,1,708.1,34,529,708.1,"5",0,34.4750634382667
"140","12486",0,0,1,917.28,48,431,917.28,"6",0,67.3660205073931
"141","12487",0,0,1,285.3,2,730,285.3,"2",0,20.6517214259908
"142","12488",66,2,3,1244.66,45,75,414.886666666667,"4",0.0415356394129979,76.0275798608054
"143","12489",0,0,1,298.93,14,336,298.93,"3",0,10.9705843791816
"144","12490",733,19,20,8764.64,194,738,438.232,"5",0.055530303030303,483.179945899471
"145","12491",0,0,1,424.4,24,38,424.4,"4",0,26.4774699306014
"146","12492",340,2,3,607.21,37,403,202.403333333333,"5",0.298209064327485,41.4749038232403
"147","12493",32,1,2,415.74,19,197,207.87,"2",0.0533333333333333,10.733906914804
"148","12494",561,8,9,1563.27,82,576,173.696666666667,"4",0.188902918069585,97.669505037432
"149","12495",0,0,1,277.4,16,640,277.4,"3",0,18.3508962779471
"150","12496",0,0,1,45.34,10,620,45.34,"2",0,2.85723579231436
"151","12497",563,2,3,5996.5,40,644,1998.83333333333,"6",0.347505144032922,264.730431100919
"152","12498",36,1,2,349.7,20,57,174.85,"2",0.0600694444444444,25.5146187733183
"153","12499",0,0,1,357.72,26,560,357.72,"2",0,22.9481809241882
"154","12500",650,16,17,5559.21,87,673,327.012352941177,"4",0.167958656330749,203.005882475275
"155","12501",0,0,1,2025.39,148,336,2025.39,"5",0,122.387519374148
"156","12502",214,4,5,2995.87,101,309,599.174,"5",0.0505811662726556,134.631628457186
"157","12503",0,0,1,896,1,584,896,"5",NA,NA
"158","12504",578,3,4,689.05,10,596,172.2625,"4",1.20425347222222,38.8447488632713
"159","12505",0,0,1,787.2,41,408,787.2,"4",0,35.1058654918531
"160","12506",0,0,1,73.5,23,232,73.5,"2",0,2.8310010619959
"161","12507",450,3,4,1508.06,45,584,377.015,"4",0.326086956521739,74.0126202795359
"162","12508",3,1,2,397.88,57,29,198.94,"3",0.00149253731343284,32.8191897982987
"163","12509",0,0,1,158.5,6,284,158.5,"4",0,6.57838771651534
"164","12510",593,7,8,4450.02,93,735,556.2525,"5",0.143226650563607,270.211436484542
"165","12511",0,0,1,3084.02,190,428,3084.02,"5",0,196.068148926904
"166","12512",0,0,1,132.18,31,66,132.18,"2",0,7.75939375396104
"167","12513",0,0,1,558.29,34,112,558.29,"4",0,55.0955189559093
"168","12514",374,1,2,1597.76,76,641,798.88,"5",0.150200803212851,97.4591303408828
"169","12515",0,0,1,278.7,15,353,278.7,"3",0,9.76088612623238
"170","12516",522,3,4,2288.62,48,599,572.155,"6",0.252173913043478,148.197935297085
"171","12517",162,3,4,2301.6,231,190,575.4,"5",0.0196414141414141,163.870275531389
"172","12518",110,4,5,1840.89,83,110,368.178,"4",0.0310852165725047,66.7591295429142
"173","12519",413,1,2,626.54,33,476,313.27,"5",0.382407407407407,14.4405027508255
"174","12520",194,4,5,2346.26,120,273,469.252,"5",0.0442827245053272,200.386682125944
"175","12521",0,0,1,545.68,37,142,545.68,"4",0,40.4921153956718
"176","12522",12,1,2,156.72,10,51,78.36,"2",0.0445987654320988,9.62921163741937
"177","12523",713,22,23,4010.35,175,732,174.363043478261,"4",0.10028129395218,223.404578574136
"178","12524",660,15,16,9794.11,156,669,612.131875,"5",0.0986547085201794,344.581161153067
"179","12525",149,2,3,883.73,55,647,294.576666666667,"3",0.0856082375478927,44.1301660826521
"180","12526",94,2,3,1172.66,63,94,390.886666666667,"4",0.0467868988391376,50.5616329613934
"181","12527",448,4,5,717.51,25,529,143.502,"3",0.497777777777778,18.2692755676653
"182","12528",303,5,6,1645.48,49,312,274.246666666667,"3",0.118823529411765,93.5911379335264
"183","12529",0,0,1,316.48,21,528,316.48,"3",0,15.144957988136
"184","12530",583,8,9,3381.26,93,642,375.695555555556,"4",0.131296921921922,137.365865844043
"185","12531",672,1,2,1771.2,125,686,885.6,"5",0.1792,86.1756784835682
"186","12532",0,0,1,313.83,15,30,313.83,"2",0,10.4754457650472
"187","12533",111,1,2,1223.89,62,738,611.945,"5",0.0536231884057971,41.2001013848909
"188","12534",0,0,1,981.18,62,130,981.18,"6",0,66.0203582028565
"189","12535",95,1,2,716.35,28,186,358.175,"4",0.095959595959596,31.916465938878
"190","12536",0,0,1,4279.71,259,59,4279.71,"5",0,234.250565855016
"191","12537",0,0,1,612.94,42,408,612.94,"5",0,35.5965155065321
"192","12538",349,1,2,640.45,33,378,320.225,"5",0.352525252525253,19.7256503442467
"193","12539",694,5,6,11186.75,275,716,1864.45833333333,"4",0.0460823373173971,176.550596132882
"194","12540",713,30,31,19250.49,353,732,620.983548387098,"6",0.0322041553748871,675.477237283071
"195","12541",251,2,3,841.18,45,280,280.393333333333,"4",0.174305555555556,24.0491718485778
"196","12542",156,1,2,481.88,39,640,240.94,"3",0.136805555555556,18.3597592440484
"197","12543",0,0,1,840.25,42,448,840.25,"4",0,21.8679811005878
"198","12544",0,0,1,316.7,18,36,316.7,"2",0,13.6472029539939
"199","12545",184,1,2,832.39,41,259,416.195,"5",0.130466903073286,48.1748768620641
"200","12546",31,1,2,1021.5,58,77,510.75,"4",0.0156565656565657,48.0844624376969
"201","12547",303,2,3,299.58,12,500,99.86,"3",0.594117647058824,13.7776069128354
"202","12548",0,0,1,67.2,4,166,67.2,"2",0,4.3582027630086
"203","12549",122,3,4,1570.68,37,697,392.67,"4",0.0864952718676123,110.590024061784
"204","12550",0,0,1,824.829999999999,56,79,824.829999999999,"4",0,47.1430421754183
"205","12551",0,0,1,168,10,357,168,"2",0,7.78835579544277
"206","12552",0,0,1,317.82,19,39,317.82,"3",0,18.4660543253078
"207","12553",415,11,12,4104.75,108,423,342.0625,"4",0.0612155850540806,68.9122220207937
"208","12554",0,0,1,384.5,25,448,384.5,"2",0,29.1624004617586
"209","12555",0,0,1,129.23,1,682,129.23,"3",NA,NA
"210","12556",101,1,2,599.56,100,151,299.78,"3",0.0285310734463277,21.3716052665128
"211","12557",706,7,8,18096.14,15,722,2262.0175,"5",0.452564102564103,856.808568436146
"212","12558",0,0,1,269.96,11,7,269.96,"1",0,9.96224480982666
"213","12559",9,1,2,525.71,20,319,262.855,"1",0.0157894736842105,26.8052645124981
"214","12560",138,1,2,1918.01,90,143,959.005,"5",0.0451116557734205,73.4117672339394
"215","12561",0,0,1,238.85,16,302,238.85,"2",0,17.5515429306015
"216","12562",427,8,9,4426.92,112,435,491.88,"6",0.0722574732092499,278.757697518925
"217","12563",0,0,1,221.24,12,408,221.24,"2",0,5.22603797951224
"218","12564",0,0,1,402.9,20,261,402.9,"3",0,14.4827019990365
"219","12565",0,0,1,145.92,9,288,145.92,"2",0,5.20217310916516
"220","12566",0,0,1,297.65,18,86,297.65,"2",0,8.54022607580096
"221","12567",644,13,14,10741.48,364,666,767.248571428571,"5",0.0396063960639606,679.325436747711
"222","12568",0,0,1,52,4,644,52,"2",0,2.40096984733676
"223","12569",250,25,26,3152.69,91,252,121.257307692308,"2",0.0534277065527066,180.256959966782
"224","12570",0,0,1,77.52,1,682,77.52,"1",NA,NA
"225","12571",82,1,2,519.61,31,121,259.805,"3",0.0828703703703704,28.0795144250189
"226","12572",43,1,2,912.42,52,51,456.21,"4",0.0251705653021442,45.4312860176461
"227","12573",238,4,5,717.41,107,465,143.482,"2",0.0672316384180791,38.7257852504866
"228","12574",0,0,1,182.45,10,315,182.45,"2",0,13.7235046098513
"229","12575",69,1,2,568.82,33,526,284.41,"3",0.0657142857142857,29.6986874417003
"230","12576",491,7,8,2062.72,113,526,257.84,"3",0.116914682539683,78.8350826687375
"231","12577",701,4,5,1617.1,259,736,323.42,"5",0.078675645342312,88.2954416409028
"232","12578",422,3,4,4026.45,148,443,1006.6125,"5",0.0842398536260812,270.766467546526
"233","12579",0,0,1,386.42,28,78,386.42,"4",0,21.1718591151909
"234","12580",330,1,2,962.9,51,576,481.45,"4",0.2,38.7600803458677
"235","12581",0,0,1,179.71,14,39,179.71,"2",0,11.0498733540878
"236","12582",339,3,4,1820.4,87,577,455.1,"6",0.113,23.4191545198925
"237","12583",731,26,27,12493.58,140,733,462.725185185185,"4",0.0582934609250399,571.770992343329
"238","12584",277,8,9,2254.15,43,280,250.461111111111,"2",0.0982269503546099,124.009299221176
"239","12585",117,1,2,1824.1,76,351,912.049999999999,"5",0.046412037037037,29.1464272220184
"240","12586",706,3,4,2062.67,82,723,515.6675,"5",0.253046594982079,109.53916668264
"241","12587",0,0,1,104,3,7,104,"1",0,2.80520114198788
"242","12588",558,2,3,718.78,30,597,239.593333333333,"5",0.453692411924119,15.2567474621669
"243","12589",661,4,5,3294.91,119,689,658.982,"5",0.128100775193798,115.033307731199
"244","12590",0,0,1,9341.26,67,211,9341.26,"6",0,345.589865264315
"245","12591",91,2,3,1114.95,62,408,371.65,"3",0.0474175347222222,40.2224440871989
"246","12592",427,2,3,2438.66,41,519,812.886666666667,"4",0.187280701754386,154.15835618688
"247","12593",110,2,3,382.1,13,218,127.366666666667,"2",0.192982456140351,3.6211102586268
"248","12594",609,13,14,4890.11000000001,77,646,349.293571428572,"4",0.105729166666667,220.502078628295
"249","12595",0,0,1,281.02,18,504,281.02,"3",0,11.9663427312539
"250","12596",191,1,2,450.27,24,242,225.135,"4",0.265277777777778,14.5522614597205
"251","12597",249,3,4,3195.22,183,268,798.805,"5",0.0412935323383085,77.5702428298093
"252","12598",639,9,10,4192.09,129,648,419.209,"4",0.107575757575758,184.466138790629
"253","12599",548,12,13,2026.72,46,577,155.901538461538,"2",0.153513071895425,121.435975486606
"254","12600",704,20,21,4390.42,52,732,209.067619047619,"4",0.215290519877676,200.007264908863
"255","12601",215,5,6,573.26,23,404,95.5433333333333,"1",0.265432098765432,14.7285347766081
"256","12602",0,0,1,153.12,12,58,153.12,"2",0,10.6899635829973
"257","12603",0,0,1,613.2,2,21,613.2,"4",0,30.6025840946442
"258","12604",182,1,2,236.18,14,261,118.09,"3",0.433234126984127,10.402077740062
"259","12605",82,2,3,1124.95,62,458,374.983333333333,"4",0.0385172143974961,70.581867756302
"260","12606",0,0,1,21,1,682,21,"2",NA,NA
"261","12607",0,0,1,1579.51,101,60,1579.51,"6",0,116.67196229188
"262","12608",0,0,1,415.79,16,404,415.79,"4",0,7.54296280962604
"263","12609",641,8,9,3021.86,128,719,335.762222222222,"5",0.129486531986532,179.385468909418
"264","12610",104,3,4,1747.54,84,126,436.885,"5",0.0343371837183718,107.238458295965
"265","12611",0,0,1,1193.32,65,52,1193.32,"5",0,60.8565974306201
"266","12612",0,0,1,668.04,18,74,668.04,"4",0,40.363437243349
"267","12613",668,7,8,6277.37,217,725,784.671250000001,"5",0.0704597398030942,192.460636317352
"268","12614",0,0,1,315.6,20,277,315.6,"3",0,11.7137979765743
"269","12615",629,6,7,5362.98,197,631,766.14,"5",0.0797211660329531,41.8187727182103
"270","12616",293,2,3,1023.1,31,388,341.033333333333,"3",0.195305555555556,68.2868467415777
"271","12617",0,0,1,352.98,39,29,352.98,"4",0,24.5619855198662
"272","12618",0,0,1,137.31,10,21,137.31,"2",0,8.3091373300033
"273","12619",544,9,10,3475.38,54,560,347.538,"4",0.19711654589372,127.556929114971
"274","12620",190,2,3,1303.41,88,204,434.47,"3",0.0703858024691358,64.5324791748446
"275","12621",667,31,32,22097.2,343,668,690.5375,"5",0.0307514983863532,1115.66403685657
"276","12622",0,0,1,162.1,10,232,162.1,"2",0,4.8702680712403
"277","12623",420,6,7,3315.84,111,696,473.691428571429,"5",0.0843373493975904,153.791596292791
"278","12624",71,1,2,569.13,35,177,284.565,"2",0.0676190476190476,30.2416834113105
"279","12625",385,3,4,4678.88,143,596,1169.72,"5",0.0720973782771535,325.272967249528
"280","12626",303,8,9,5954.48,231,326,661.608888888888,"6",0.0355633802816901,208.509173284128
"281","12627",130,5,6,4082.53,161,140,680.421666666667,"5",0.019438216243149,229.110822571501
"282","12628",60,2,3,732.46,33,64,244.153333333333,"4",0.0540915915915916,33.5214671488863
"283","12629",38,1,2,1198.22,39,423,599.11,"5",0.0301917989417989,-17.1923529696535
"284","12630",34,1,2,1030.88,59,43,515.44,"4",0.0186020036429872,26.0585280969793
"285","12631",636,4,5,3321.57,130,693,664.314,"5",0.117119398403929,350.63535503163
"286","12632",44,1,2,714.88,31,564,357.44,"3",0.0458333333333333,37.8777694567509
"287","12633",467,6,7,5156.16,219,525,736.594285714286,"5",0.0522371364653244,360.20383705269
"288","12634",0,0,1,360,19,548,360,"3",0,25.0742015532105
"289","12635",367,3,4,2624.41,158,456,656.1025,"6",0.0703065134099617,105.074880425653
"290","12637",476,10,11,8085.81,294,543,735.073636363637,"5",0.0260109289617486,370.301168807753
"291","12638",606,1,2,681.49,46,639,340.745,"5",0.448888888888889,22.6996208251122
"292","12639",389,2,3,1072.37,57,627,357.456666666667,"4",0.216087962962963,42.4608495698346
"293","12640",58,2,3,994.58,46,81,331.526666666667,"4",0.039484126984127,12.9888020896081
"294","12641",0,0,1,145.9,9,115,145.9,"2",0,9.87376218527882
"295","12642",82,2,3,905.26,38,107,301.753333333333,"2",0.0635981912144703,58.5594377726285
"296","12643",483,9,10,7803.82,13,611,780.382,"5",0.392682926829268,29.3986136557301
"297","12644",565,3,4,1900.49,105,694,475.1225,"5",0.172770132517839,109.885220338622
"298","12645",635,7,8,3215.3,110,668,401.9125,"4",0.140176600441501,116.854086673448
"299","12646",45,1,2,1346.97,43,49,673.485,"5",0.0341224747474747,64.4881905399659
"300","12647",673,31,32,14109.55,239,695,440.9234375,"5",0.0459699453551912,1289.83312684395
"301","12648",547,3,4,1039,37,701,259.75,"3",0.303865740740741,55.7494084935219
"302","12649",589,6,7,2096.65,93,696,299.521428571429,"3",0.176864364364364,41.4180639948258
"303","12650",0,0,1,242.44,19,3,242.44,"2",0,14.9587811401217
"304","12651",131,3,4,377.75,30,465,94.4375,"2",0.150622605363985,12.1525077299097
"305","12652",103,1,2,891.03,50,434,445.515,"4",0.0700963718820862,57.4559287401377
"306","12653",378,2,3,4160.83,76,526,1386.94333333333,"4",0.148235294117647,235.946213696246
"307","12654",285,3,4,529.98,30,295,132.495,"2",0.287878787878788,33.7116730044125
"308","12655",0,0,1,243.35,15,423,243.35,"3",0,13.0384995009099
"309","12656",545,7,8,5723.83,173,562,715.47875,"5",0.0763363678804855,233.248883501668
"310","12657",67,2,3,1427.18,34,78,475.726666666667,"4",0.0519702842377261,60.0320330365252
"311","12658",0,0,1,632.05,35,18,632.05,"5",0,22.5113924917928
"312","12659",0,0,1,73.68,4,29,73.68,"3",0,1.88339183864434
"313","12660",0,0,1,227.1,12,11,227.1,"2",0,19.19582903399
"314","12661",0,0,1,162,11,436,162,"3",0,7.9738222874417
"315","12662",617,18,19,6130.54000000001,162,617,322.66,"4",0.0554395028451632,357.647162610926
"316","12663",44,1,2,185.4,8,668,92.7,"2",0.20952380952381,4.29730051175382
"317","12664",718,10,11,5420.04,9,726,492.730909090909,"4",0.725252525252525,278.086485579893
"318","12665",345,2,3,259.6,12,669,86.5333333333333,"2",0.884615384615385,22.7154602756789
"319","12666",0,0,1,1248.42,31,394,1248.42,"5",0,22.9981302448566
"320","12667",0,0,1,460.13,32,58,460.13,"4",0,43.7677098610927
"321","12668",666,8,9,9906.02999999999,262,677,1100.67,"5",0.0422053231939164,106.733279087652
"322","12669",106,1,2,1427.73,96,256,713.865,"4",0.036426116838488,45.5291737245608
"323","12670",656,6,7,3436.29,70,666,490.898571428571,"5",0.204361370716511,194.641965931221
"324","12671",0,0,1,2622.481,45,606,2622.481,"6",0,103.346706783613
"325","12672",266,1,2,407.05,21,595,203.525,"3",0.443402777777778,15.799808310799
"326","12673",396,2,3,1140.02,67,401,380.006666666667,"5",0.185915492957746,66.3254816400021
"327","12674",169,3,4,1844.6,51,207,461.15,"4",0.0722400284900285,126.932608255962
